Batch_Size,Pruning_Percentage,PerRun_A,PerRun_A_std,PerRun_B,PerRun_B_std,PerRun_n,PerRun_n_std,V4_A,V4_B,V4_n
64,0.0,0.2964518954662244,0.016404123501375215,5.573849272108856,1.0676933098628076,0.8965002419997572,0.1363896152073327,0.29933359800657244,5.806807093480915,0.9046425677474221
64,10.0,0.29668078203272646,0.026890303814128595,5.824903696431164,1.4353782921095892,0.9452629737556782,0.30767083682361274,0.2927314824657088,5.778865133373056,0.8770822208779401
64,20.0,0.2832887278305978,0.02685806553009074,5.804162299930666,1.5843583299166486,0.8786153416406354,0.27097345252718025,0.29864047084391143,7.225893346069379,0.929179367786747
64,30.0,0.2853168793127551,0.033503728665498334,6.209328643968377,1.9409270579657538,0.9054621414341665,0.33612763255733413,0.2993366089006041,7.643609231891446,0.9203124945287235
64,40.0,0.28237320053341153,0.031308914465961526,6.577440854295443,1.9706091926542753,0.8843574324938425,0.31504633718971314,0.2985994739706259,8.459087430233048,0.9153557835278283
64,50.0,0.27688163678828487,0.028585168325364604,7.144638622610122,2.4564616458833486,0.8457057861569831,0.2978749122570344,0.28276451109425604,7.1199175345924015,0.8118922992809914
64,60.0,0.27158350273457177,0.01585269218954293,7.076720934938465,1.7889876316839612,0.7487801319012614,0.06371841021237107,0.2847177808452912,7.545923356272521,0.7812273079644034
64,70.0,0.28269598560832426,0.025433448517317367,8.144691804305154,2.837900248153463,0.7348803619214505,0.11018067517428827,0.30182554474918316,8.64187227411467,0.7677634558121395
64,80.0,0.3083321066867427,0.02390573664767865,8.324187258351621,1.6817883085991088,0.6708050070641675,0.049205070473725986,0.3153772428684487,8.247909389876185,0.6761342686540455
64,82.0,0.3190037300067252,0.02521379357951833,8.119659475245642,1.1526452964180027,0.6509932602896892,0.03689595186213009,0.3652620863078374,10.17062842474875,0.7322344090579496
64,84.0,0.32964202399123377,0.031207194426759045,8.364390994186639,1.4291907594262665,0.6374895023353762,0.0463274723402258,0.3550436880867519,9.016668898098601,0.67026027016446
64,86.0,0.355025966489566,0.036718393818005124,8.658757255114901,2.852347778985564,0.6235587651449106,0.06494768761833183,0.5372707142857143,0.9990337301587493,0.5
64,88.0,0.36975539230771026,0.031751433843024285,7.991809023419776,1.6428693422086533,0.5869034953707429,0.048152418894702606,0.4375546892402321,9.978013206546454,0.6711598248522004
64,90.0,0.3949867898942625,0.04006974861559319,7.49977784456062,0.9375328943360269,0.5479792603134253,0.037898187461118955,0.4543365336064791,8.841291812858199,0.6095887387282303
64,92.0,0.5306125792440551,0.16299947516860736,5.747490186172784,2.4215401391006934,0.5102163528909676,0.014561588709637181,0.45520934135300406,6.857050401862741,0.5074683730164282
64,94.0,0.8397065448956353,0.20875281902038229,3.0582727722710574,2.9021495930465027,0.5001844334845463,0.001005241259090312,0.5428358735896365,7.504591160794494,0.5000000000828336
64,96.0,1.1473026448795833,0.1765319266796445,1.9998100077196372,2.336625294925267,0.5000053433915755,2.3351065349899202e-05,0.7118629819214238,8.206407177314079,0.5000148522641691
64,98.0,1.5856784638784536,0.1650173017439568,1.6414245433094923,1.8700947908601746,0.5000322342349294,0.00011289230689056541,1.5180075,0.6803163709677151,0.5
64,100.0,2.3000000000000007,8.881784197001252e-16,0.0,0.0,0.5,0.0,2.3,0.0,0.5
1024,0.0,0.264753991398225,0.016192135412869547,5.463974123029427,1.1119223919329269,0.9781845473373336,0.18898725363340482,0.27382823472122897,6.053876525928259,1.0174532338292481
1024,10.0,0.261214695394662,0.015252167727705374,5.593142599641357,1.0013199316069346,1.000635503046357,0.278417956311008,0.2738290855939287,7.738468247111663,1.0721529187411851
1024,20.0,0.2564938928606517,0.017748180336423235,5.529899253714137,0.7996651446890123,0.9844827610384496,0.3194134595884722,0.2629922979573225,6.488817570779348,0.9769139144742953
1024,30.0,0.2511785192293719,0.020221371601726393,5.656687275951745,1.146821313902067,0.9446359314983467,0.3063992353934776,0.26499626452062963,7.457968510721447,0.9957734543172676
1024,40.0,0.25744517084196716,0.024548303069490383,6.385992496611059,1.6760217593936773,1.018093754588121,0.4045422071173732,0.2577618623318303,6.888555776154714,0.9277836131914279
1024,50.0,0.2542575624991876,0.021858696264072663,6.578131820765305,1.2824486340727528,0.9300431348411629,0.2888487173874703,0.253971126066681,6.8181488822944285,0.878284981354302
1024,60.0,0.27071201929196165,0.02971734678207903,8.161065313978275,2.557496310674938,1.0106570022079422,0.3995701104291956,0.2641937925512703,7.939871855160319,0.8799495658077914
1024,70.0,0.2850505985116211,0.03898322545213717,9.618581119284245,3.6010107044510193,1.0312379645033056,0.5190500471738762,0.27275290096881033,8.395001071352826,0.8282418769953156
1024,80.0,0.3073233792679938,0.024085139299609277,9.418804935255663,2.852636899176427,0.7836887920388886,0.13400030119431325,0.30628323085228476,8.98454825845818,0.7700130910517493
1024,82.0,0.3164573696368475,0.025578241159054518,9.606996361321599,2.904329444234898,0.7586646910873682,0.0678411522151444,0.3700389809891317,18.897866231447956,0.9662209144560117
1024,84.0,0.3351758712668447,0.021088324019007492,9.245926497363765,2.5557906196494247,0.7318967755839965,0.05553533917598082,0.32275084816129657,8.287739793726656,0.7020985954865083
1024,86.0,0.3611363976235587,0.02288981628631983,9.254321813677997,2.34286148114568,0.7095951011688247,0.05397857938947875,0.47329,0.9669378571428577,0.5
1024,88.0,0.3870149155771199,0.02550050716188534,8.859159496851909,2.0737320222893114,0.677480081732399,0.05022753900615701,0.396000716072604,8.87956095668624,0.6865685043455644
1024,90.0,0.4185623899863635,0.0369012033965028,8.256603692140223,0.5415963920158832,0.6384930289313423,0.024651886640130582,0.5764,1.039995299999985,0.5
1024,92.0,0.48212859186203205,0.044367400769751625,7.871056974759856,1.5259582404508094,0.6010541110018892,0.04747022919500899,0.4490160388617769,7.049384504656253,0.5637732653387353
1024,94.0,0.5670535836455701,0.05470215841844318,6.538345962918724,0.4782146853724875,0.5280920569113455,0.024381517436381447,0.836865,1.0307176612903146,0.5
1024,96.0,0.9442651214808047,0.22137974816922756,3.958767179809958,2.496910513480972,0.5006643067199241,0.005181354744220954,1.0782883333333333,0.9381612634408731,0.5
1024,98.0,1.5157884707972593,0.17134827998451468,1.4708167867716158,1.7053275588859558,0.5000050865125947,1.7242056697318588e-05,1.4414966666666666,0.7283619623655868,0.5
1024,100.0,2.3000000000000007,8.881784197001252e-16,0.0,0.0,0.5,0.0,2.3,0.0,0.5
60000,0.0,0.29384987227930226,0.006169603813200606,6.763186570838737,1.0219998656684444,1.0798523322770521,0.054385496136039976,0.3278666335887592,10.928553972727627,1.397879644297398
60000,10.0,0.2834890332536272,0.004164053270762744,6.3825301501793446,0.5748050869847098,1.0281783836783571,0.03355946526526933,0.2983409401990249,7.889532172060953,1.1313382770042537
60000,20.0,0.2737641686645123,0.004615879277589177,6.165502349577631,0.4848323656977994,0.9824796007686181,0.027502534139054746,0.27898218483896253,6.5342074048479475,1.0111183820775755
60000,30.0,0.26656077472131434,0.0030868771761514016,6.257778933011752,0.29293756793919573,0.9516499843349865,0.018765875108538232,0.2706580642804107,6.618331307255588,0.9752679892021594
60000,40.0,0.2609345623535934,0.004059191227465694,6.5549631247294915,0.31608315408650695,0.9274214297351502,0.019289987807492703,0.2655139171032921,6.937738267845717,0.9510714531424208
60000,50.0,0.25651676141445423,0.010395346545054304,6.784970953074395,0.37266097482523386,0.9009311314756041,0.07714898668250218,0.2562979846586045,6.7775989400640775,0.8948934826765689
60000,60.0,0.2562912686347977,0.00836463585144535,7.315730526845589,0.9362927393396059,0.864046467117784,0.04320143016124554,0.26290972084718356,7.905990676530084,0.8953860986662117
60000,70.0,0.275311835938259,0.03577208006172764,8.77354382992221,3.0660195340553256,0.9611646801313514,0.4273806254255695,0.2893598486367466,10.614328662784612,0.9373876805661502
60000,80.0,0.3219648628071204,0.049303321969054244,11.944478943988678,5.6981615996671735,0.9940489656610474,0.4976228279630838,0.2948679871119657,8.950204305556431,0.782834544094152
60000,82.0,0.3210896537668361,0.04376540781255378,11.430201646888968,4.8770129746934865,0.8661337640894624,0.3010715186651546,0.3287417408666324,10.448083126169848,0.8209602703738783
60000,84.0,0.3304917144585561,0.027057658534627372,10.000377182969375,2.989013151616471,0.763497929967515,0.0727677924392157,0.33519886237057017,9.512985858979805,0.7616846216287955
60000,86.0,0.34312947195971066,0.02657545870355471,9.4808113731803,2.3040508230939882,0.7318355704958309,0.053399597033555235,0.3609643768085353,10.000063448488028,0.7606986631925459
60000,88.0,0.3738826101482586,0.030619967468965253,9.277478500384877,2.1192892337307643,0.7028942386490442,0.05261415220932932,0.3589352656481012,8.377507730895072,0.6737907221888126
60000,90.0,0.41678915176822007,0.03452398748970819,9.183235335446302,2.972931327655177,0.6728691523233793,0.07028270231143244,0.40441375129704094,8.23503933300762,0.6473812226010597
60000,92.0,0.47694498723962003,0.04159424114716595,7.810026178046376,1.5673563273700104,0.6035126691648177,0.042662923954451065,0.42766939440495644,6.738845775344393,0.5504266365076732
60000,94.0,0.5506020702010617,0.05013518788615635,6.610341598112605,0.4443725222597827,0.5369884720336544,0.021489954848517196,0.8348575,1.030740403225816,0.5
60000,96.0,0.8328049858087595,0.17178915525021252,4.991250992047402,1.837685142225443,0.5009010339612265,0.006080277186789566,1.02258,0.9712629838709574,0.5
60000,98.0,1.5082265669458723,0.16764070691745708,1.5543100913463028,1.708140199140827,0.5000069161374393,1.998615716982274e-05,1.4680890000000002,0.7018190645161071,0.5
60000,100.0,2.3000000000000007,8.881784197001252e-16,0.0,0.0,0.5,0.0,2.3,0.0,0.5
